地域標準コード	市区町村名	介護老人福祉施設（施設数）	介護老人福祉施設（定員）	介護老人福祉施設（常勤換算従事者数）	介護老人保健施設（施設数）	介護老人保健施設（定員）	介護老人保健施設（常勤換算従事者数）	介護療養型医療施設（施設数）	介護療養型医療施設（病床数）	介護療養型医療施設（常勤換算従事者数）
08447	河内町	2	112	68	-	-	-	-	-	-
08521	八千代町	1	50	36	-	-	-	-	-	-
08542	五霞町	-	-	-	-	-	-	-	-	-
08546	境町　	1	90	60	2	180	101	-	-	-
08564	利根町	1	50	33	1	100	57	-	-	-
09000	栃木県	119	6610	4494	61	5239	3034	7	500	317
09201	宇都宮市	26	1474	1018	10	938	549	3	318	208
09202	足利市	10	569	369	5	353	189	-	-	-
09203	栃木市	11	643	467	7	550	305	1	8	14
09204	佐野市	8	388	283	4	315	191	-	-	-
09205	鹿沼市	8	447	330	3	240	146	1	50	29
09206	日光市	8	430	279	5	434	240	-	-	-
09208	小山市	8	439	295	6	554	319	-	-	-
09209	真岡市	5	252	145	2	200	115	-	-	-
09210	大田原市	4	216	142	2	200	115	-	-	-
09211	矢板市	2	150	114	2	100	74	-	-	-
09213	那須塩原市　	6	286	204	3	406	250	1	36	23
09214	さくら市	2	108	74	2	180	102	-	-	-
09215	那須烏山市　	1	80	44	2	150	80	-	-	-
09216	下野市	4	204	133	1	90	53	-	-	-
09301	上三川町	2	120	72	-	-	-	-	-	-
09342	益子町	1	50	23	2	120	54	-	-	-
09343	茂木町	1	50	32	1	100	58	-	-	-
09344	市貝町	1	50	27	-	-	-	-	-	-
09345	芳賀町	1	50	34	-	-	-	-	-	-
09361	壬生町	1	100	73	1	50	33	-	-	-
09364	野木町	1	50	32	1	150	91	-	-	-
09384	塩谷町	1	50	28	1	29	23	-	-	-
09386	高根沢町	2	140	84	1	80	48	1	88	44
09407	那須町	3	144	108	-	-	-	-	-	-
09411	那珂川町	2	120	83	-	-	-	-	-	-
10000	群馬県	138	8049	5372	78	5424	3421	12	495	354
